number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
29,0.112693552672863,2025-08-24 18:44:04.807014,2025-08-24 18:49:47.706424,0 days 00:05:42.899410,100,,uniform,8,nz,1.1354612839945856e-05,5.104214441669944e-05,474,816,576,16,,raw,old,1.84336145631759,tanh,0.012582945823669435,0.012932229042053222,0.013145804405212402,0.011670804023742676,COMPLETE,0.012582945823669435,0.012932229042053222,0.013145804405212402,0.011670804023742676
30,0.12406452149152755,2025-08-24 18:49:47.706721,2025-08-24 19:18:09.108742,0 days 00:28:21.402021,20,,normal,5,nz,3.4666480400355086e-05,3.0590198493981793e-06,1159,1024,560,320,0.5285715720343376,pca,Glorot,,tanh,0.013035583496093751,0.013160419464111329,0.013076424598693848,0.012869906425476075,COMPLETE,0.013035583496093751,0.013160419464111329,0.013076424598693848,0.012869906425476075
31,0.112693552672863,2025-08-24 19:18:09.110514,2025-08-24 19:23:36.184417,0 days 00:05:27.073903,100,,normal,7,zero,,0.0013178595061205047,329,544,624,736,,raw,Glorot,,tanh,0.013127867380777994,0.013079500198364258,0.013156509399414063,0.013147592544555664,COMPLETE,0.013127867380777994,0.013079500198364258,0.013156509399414063,0.013147592544555664
32,0.112693552672863,2025-08-24 19:23:36.184751,2025-08-24 19:29:01.950042,0 days 00:05:25.765291,100,,normal,5,zero,,8.060709675998e-05,273,592,848,816,,raw,Glorot,,logistic,0.01301445166269938,0.012946414947509765,0.013173365592956543,0.012923574447631836,COMPLETE,0.01301445166269938,0.012946414947509765,0.013173365592956543,0.012923574447631836
33,0.8318387508392334,2025-08-24 19:29:01.950373,2025-08-24 19:34:29.229203,0 days 00:05:27.278830,100,,uniform,5,zero,,0.3881631908547999,550,656,768,480,0.8360361547567354,pca,old,0.34952059690438664,tanh,0.006621146202087403,0.005297541618347168,0.007555675506591797,0.007010221481323242,COMPLETE,0.006621146202087403,0.005297541618347168,0.007555675506591797,0.007010221481323242
34,0.16577419638633728,2025-08-24 19:34:29.229507,2025-08-24 19:39:56.634315,0 days 00:05:27.404808,100,,normal,5,zero,,1.5698573371230564e-06,9702,16,848,784,0.9554456629821021,pca,old,0.8219145201736515,tanh,0.012104694048563638,0.00997624397277832,0.013069796562194824,0.013268041610717773,COMPLETE,0.012104694048563638,0.00997624397277832,0.013069796562194824,0.013268041610717773
35,0.112693552672863,2025-08-24 19:39:56.634604,2025-08-24 20:07:06.723148,0 days 00:27:10.088544,20,0.00023030123347169337,uniform,5,zero,,0.00022925779841068158,7530,624,304,272,,colnorm,Glorot,,logistic,0.01302809715270996,0.013199257850646972,0.012829947471618652,0.013055086135864258,COMPLETE,0.01302809715270996,0.013199257850646972,0.012829947471618652,0.013055086135864258
36,0.112693552672863,2025-08-24 20:07:06.725257,2025-08-24 20:12:47.711478,0 days 00:05:40.986221,100,,uniform,6,nz,0.007026571679037962,0.5761867715961069,345,480,560,336,0.9027008437002731,pca,Glorot,,logistic,0.010608665148417155,0.0130218505859375,0.013132524490356446,0.0056716203689575195,COMPLETE,0.010608665148417155,0.0130218505859375,0.013132524490356446,0.0056716203689575195
37,0.112693552672863,2025-08-24 20:12:47.711776,2025-08-24 20:18:16.679087,0 days 00:05:28.967311,100,,uniform,8,zero,,0.04691042508931178,325,320,656,880,,raw,old,0.7969697448675397,logistic,0.01319142977396647,0.013067960739135742,0.013406014442443848,0.013100314140319824,COMPLETE,0.01319142977396647,0.013067960739135742,0.013406014442443848,0.013100314140319824
38,0.112693552672863,2025-08-24 20:18:16.679433,2025-08-24 20:23:43.992535,0 days 00:05:27.313102,100,1.3392800430171726e-07,uniform,7,zero,,5.181088778462791e-05,1530,624,768,64,,colnorm,old,0.5361051597480313,logistic,0.012982590993245441,0.013241934776306152,0.012793588638305663,0.012912249565124512,COMPLETE,0.012982590993245441,0.013241934776306152,0.012793588638305663,0.012912249565124512
39,0.112693552672863,2025-08-24 20:23:43.992850,2025-08-24 20:52:08.050182,0 days 00:28:24.057332,20,,uniform,6,nz,2.7074231357934203e-07,2.7495142582401574e-05,3457,528,320,288,,raw,old,0.9842803384827483,logistic,0.01310109297434489,0.01322021484375,0.013056325912475585,0.013026738166809082,COMPLETE,0.01310109297434489,0.01322021484375,0.013056325912475585,0.013026738166809082
40,0.112693552672863,2025-08-24 20:52:08.050562,2025-08-24 21:19:06.740980,0 days 00:26:58.690418,20,,uniform,7,zero,,7.1487242727983216e-06,669,400,672,560,0.733548195301683,pca,Glorot,,logistic,0.013045223553975423,0.013075160980224609,0.01302039623260498,0.013040113449096679,COMPLETE,0.013045223553975423,0.013075160980224609,0.01302039623260498,0.013040113449096679
41,0.112693552672863,2025-08-24 21:19:06.741347,2025-08-24 21:24:47.666974,0 days 00:05:40.925627,100,,uniform,5,nz,2.172158274853957e-05,4.971380801717752e-05,489,848,896,752,0.6078982381999125,pca,old,1.570720193391757,logistic,0.013138969739278158,0.01318984031677246,0.01304473876953125,0.013182330131530761,COMPLETE,0.013138969739278158,0.01318984031677246,0.01304473876953125,0.013182330131530761
42,0.112693552672863,2025-08-24 21:24:47.667282,2025-08-24 21:30:18.615671,0 days 00:05:30.948389,100,,normal,6,zero,,5.05629522128911e-05,628,704,16,912,,raw,old,1.6729318569045701,logistic,0.013407278060913087,0.013390612602233887,0.013930916786193848,0.012900304794311524,COMPLETE,0.013407278060913087,0.013390612602233887,0.013930916786193848,0.012900304794311524
43,0.5674838900566102,2025-08-24 21:30:18.616015,2025-08-24 21:35:50.020725,0 days 00:05:31.404710,100,,uniform,7,zero,,0.004181806786036181,9187,128,272,528,0.5725305842963468,pca,old,0.6347679358457043,tanh,0.011134632428487142,0.0089522123336792,0.012026119232177734,0.012425565719604492,COMPLETE,0.011134632428487142,0.0089522123336792,0.012026119232177734,0.012425565719604492
44,0.11295161694288254,2025-08-24 21:35:50.021039,2025-08-24 22:04:26.762365,0 days 00:28:36.741326,20,,uniform,7,nz,2.560791683250174e-08,6.497661227159869e-05,996,448,944,160,0.878173217327606,pca,Glorot,,tanh,0.012914673487345379,0.012933731079101562,0.012970471382141113,0.012839818000793457,COMPLETE,0.012914673487345379,0.012933731079101562,0.012970471382141113,0.012839818000793457
45,0.7350806593894958,2025-08-24 22:04:26.762734,2025-08-24 22:32:48.946625,0 days 00:28:22.183891,20,,uniform,6,nz,4.2668947270063475e-06,0.009261598751419355,1303,240,864,224,0.7526980705455009,pca,old,1.2313563468120658,tanh,0.011488652229309082,0.010603809356689453,0.012335872650146485,0.011526274681091308,COMPLETE,0.011488652229309082,0.010603809356689453,0.012335872650146485,0.011526274681091308
46,0.19285484552383422,2025-08-24 22:32:48.947517,2025-08-24 22:38:36.355354,0 days 00:05:47.407837,100,,uniform,5,nz,3.29024119804691e-08,1.2532733251536745e-06,125,224,896,592,0.9280040816529784,pca,old,1.95298129373683,tanh,0.013115429878234863,0.013151097297668456,0.012937331199645996,0.013257861137390137,COMPLETE,0.013115429878234863,0.013151097297668456,0.012937331199645996,0.013257861137390137
47,0.28748388290405275,2025-08-24 22:38:36.355649,2025-08-24 22:44:06.838447,0 days 00:05:30.482798,100,,normal,5,zero,,0.00011442100841843391,306,128,672,816,0.7013913968225263,pca,old,1.2743207063277995,tanh,0.013027461369832356,0.012977004051208496,0.013100576400756837,0.013004803657531738,COMPLETE,0.013027461369832356,0.012977004051208496,0.013100576400756837,0.013004803657531738
48,0.7473871231079101,2025-08-24 22:44:06.838745,2025-08-24 23:12:19.530521,0 days 00:28:12.691776,20,1.5213799637263695e-05,normal,7,nz,0.00010849668078145311,0.04064835377827358,383,576,496,1008,,colnorm,Glorot,,tanh,0.011957724889119467,0.011273455619812012,0.012014675140380859,0.012585043907165527,COMPLETE,0.011957724889119467,0.011273455619812012,0.012014675140380859,0.012585043907165527
49,0.112693552672863,2025-08-24 23:12:19.530897,2025-08-24 23:40:57.383243,0 days 00:28:37.852346,20,,uniform,6,nz,0.0007388299612462084,2.6838463465390414e-05,258,192,128,848,,raw,Glorot,,logistic,0.012959186236063638,0.012823724746704101,0.012879228591918946,0.013174605369567872,COMPLETE,0.012959186236063638,0.012823724746704101,0.012879228591918946,0.013174605369567872
50,0.5662258267402649,2025-08-24 23:40:57.383601,2025-08-25 00:09:09.133512,0 days 00:28:11.749911,20,,uniform,8,nz,1.908237513615749e-06,0.009531024033067244,2537,288,272,80,,raw,old,0.27563829445908666,tanh,0.011384924252827963,0.012235355377197266,0.012035417556762695,0.009883999824523926,COMPLETE,0.011384924252827963,0.012235355377197266,0.012035417556762695,0.009883999824523926
51,0.2529032349586487,2025-08-25 00:09:09.134300,2025-08-25 00:14:54.101307,0 days 00:05:44.967007,100,,normal,8,nz,0.0005657840674477493,0.034360924836067806,2216,336,48,592,0.899069644786243,pca,Glorot,,logistic,0.009718068440755208,0.011297965049743652,0.006195378303527832,0.01166086196899414,COMPLETE,0.009718068440755208,0.011297965049743652,0.006195378303527832,0.01166086196899414
52,0.112693552672863,2025-08-25 00:14:54.101624,2025-08-25 00:43:15.554767,0 days 00:28:21.453143,20,,normal,8,nz,1.4738360525117118e-05,0.01606188977318872,768,832,896,544,,raw,Glorot,,logistic,0.013079237937927245,0.012935614585876465,0.01325223445892334,0.013049864768981933,COMPLETE,0.013079237937927245,0.012935614585876465,0.01325223445892334,0.013049864768981933
53,0.112693552672863,2025-08-25 00:43:15.555129,2025-08-25 00:49:01.931721,0 days 00:05:46.376592,100,6.415696825107625e-08,uniform,6,nz,1.463798032767135e-05,1.8880093046200602e-05,4520,656,624,544,,colnorm,old,0.33226944075447534,logistic,0.013137873013814291,0.013067173957824706,0.013088631629943847,0.013257813453674317,COMPLETE,0.013137873013814291,0.013067173957824706,0.013088631629943847,0.013257813453674317
54,0.112693552672863,2025-08-25 00:49:01.932052,2025-08-25 00:54:27.603474,0 days 00:05:25.671422,100,1.751843747942396e-08,normal,5,zero,,0.00039626846541448643,137,272,768,32,,colnorm,Glorot,,tanh,0.012858136494954426,0.012778544425964355,0.013188910484313966,0.012606954574584961,COMPLETE,0.012858136494954426,0.012778544425964355,0.013188910484313966,0.012606954574584961
55,0.112693552672863,2025-08-25 00:54:27.604205,2025-08-25 01:21:25.151508,0 days 00:26:57.547303,20,,normal,8,zero,,0.012559696107890185,1432,432,1024,192,0.953042012991536,pca,Glorot,,logistic,0.013223767280578613,0.013091039657592774,0.0132476806640625,0.013332581520080567,COMPLETE,0.013223767280578613,0.013091039657592774,0.0132476806640625,0.013332581520080567
56,0.112693552672863,2025-08-25 01:21:25.151876,2025-08-25 01:48:33.334395,0 days 00:27:08.182519,20,,normal,7,zero,,0.00011244131578424073,333,224,416,896,,raw,old,1.0628015400286273,logistic,0.01298851172129313,0.01292719841003418,0.013218331336975097,0.012820005416870117,COMPLETE,0.01298851172129313,0.01292719841003418,0.013218331336975097,0.012820005416870117
57,0.6558709979057312,2025-08-25 01:48:33.334751,2025-08-25 01:54:17.584999,0 days 00:05:44.250248,100,,normal,5,nz,5.516200974192991e-06,0.13578312866837985,285,288,704,32,0.6163250579168666,pca,old,1.4501074686859041,tanh,0.00789792537689209,0.008433771133422852,0.011641836166381836,0.003618168830871582,COMPLETE,0.00789792537689209,0.008433771133422852,0.011641836166381836,0.003618168830871582
58,0.1521612972021103,2025-08-25 01:54:17.585323,2025-08-25 02:00:03.378577,0 days 00:05:45.793254,100,,normal,5,nz,0.002299092964953526,1.9043935539466418e-06,282,416,32,720,0.7655584808490381,pca,old,1.0288984288444483,tanh,0.01289818286895752,0.013259673118591308,0.012556815147399902,0.012878060340881348,COMPLETE,0.01289818286895752,0.013259673118591308,0.012556815147399902,0.012878060340881348
59,0.112693552672863,2025-08-25 02:00:03.378883,2025-08-25 02:05:49.885567,0 days 00:05:46.506684,100,,normal,5,nz,1.6212064962454547e-08,3.022746447459181e-06,263,112,640,624,,raw,Glorot,,logistic,0.013033596674601237,0.01289958953857422,0.013182973861694336,0.013018226623535157,COMPLETE,0.013033596674601237,0.01289958953857422,0.013182973861694336,0.013018226623535157
