number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
25,0.30239999294281006,2025-08-24 17:53:49.782544,2025-08-24 18:23:32.134253,0 days 00:29:42.351709,20,,normal,5,zero,,0.001237123628998651,4732,752,992,160,,raw,Glorot,,logistic,0.01311508814493815,0.013221979141235352,0.013164854049682618,0.012958431243896484,COMPLETE,0.01311508814493815,0.013221979141235352,0.013164854049682618,0.012958431243896484
26,0.10000000149011612,2025-08-24 18:23:32.135067,2025-08-24 18:54:45.523571,0 days 00:31:13.388504,20,,uniform,6,nz,0.00025273534942158024,1.5444453286934103e-06,443,832,48,704,0.5000924595149698,pca,old,1.6974991883625365,logistic,0.013330411911010741,0.013154315948486327,0.013686370849609376,0.013150548934936524,COMPLETE,0.013330411911010741,0.013154315948486327,0.013686370849609376,0.013150548934936524
27,0.6349714279174805,2025-08-24 18:54:45.524352,2025-08-24 19:25:55.912735,0 days 00:31:10.388383,20,,uniform,5,nz,2.8653067848446513e-08,0.13594321102820803,100,64,960,832,0.5315053238870611,pca,Glorot,,logistic,0.009538793563842773,0.005142092704772949,0.011911273002624512,0.01156301498413086,COMPLETE,0.009538793563842773,0.005142092704772949,0.011911273002624512,0.01156301498413086
28,0.10000000149011612,2025-08-24 19:25:55.914649,2025-08-24 19:32:12.235279,0 days 00:06:16.320630,100,,uniform,8,nz,2.195171270562009e-06,0.00019975831193664464,686,64,592,192,,raw,Glorot,,logistic,0.013001640637715658,0.012754178047180176,0.01313033103942871,0.013120412826538086,COMPLETE,0.013001640637715658,0.012754178047180176,0.01313033103942871,0.013120412826538086
29,0.25795714259147645,2025-08-24 19:32:12.235612,2025-08-24 19:38:29.285923,0 days 00:06:17.050311,100,,uniform,8,nz,1.1354612839945856e-05,5.104214441669944e-05,474,816,576,16,,raw,old,1.84336145631759,tanh,0.012582961718241373,0.012932205200195312,0.013145852088928222,0.011670827865600586,COMPLETE,0.012582961718241373,0.012932205200195312,0.013145852088928222,0.011670827865600586
30,0.5610857129096984,2025-08-24 19:38:29.286187,2025-08-24 20:09:42.904391,0 days 00:31:13.618204,20,,normal,5,nz,3.4666480400355086e-05,3.0590198493981793e-06,1159,1024,560,320,0.5285715720343376,pca,Glorot,,tanh,0.013122018178304037,0.01296985149383545,0.013238334655761718,0.013157868385314941,COMPLETE,0.013122018178304037,0.01296985149383545,0.013238334655761718,0.013157868385314941
31,0.4062142789363861,2025-08-24 20:09:42.906527,2025-08-24 20:15:42.177180,0 days 00:05:59.270653,100,,normal,7,zero,,0.0013178595061205047,329,544,624,736,,raw,Glorot,,tanh,0.013084006309509276,0.013013052940368652,0.013115882873535156,0.013123083114624023,COMPLETE,0.013084006309509276,0.013013052940368652,0.013115882873535156,0.013123083114624023
32,0.13270000070333482,2025-08-24 20:15:42.177433,2025-08-24 20:21:38.679095,0 days 00:05:56.501662,100,,normal,5,zero,,8.060709675998e-05,273,592,848,816,,raw,Glorot,,logistic,0.013014435768127441,0.012946438789367676,0.013173246383666992,0.012923622131347656,COMPLETE,0.013014435768127441,0.012946438789367676,0.013173246383666992,0.012923622131347656
33,0.25652857422828673,2025-08-24 20:21:38.679422,2025-08-24 20:27:41.169485,0 days 00:06:02.490063,100,,uniform,5,zero,,0.3881631908547999,550,656,768,480,0.8360361547567354,pca,old,0.34952059690438664,tanh,,,,,COMPLETE,,,,
34,0.4337999939918518,2025-08-24 20:27:41.169750,2025-08-24 20:33:38.897587,0 days 00:05:57.727837,100,,normal,5,zero,,1.5698573371230564e-06,9702,16,848,784,0.9554456629821021,pca,old,0.8219145201736515,tanh,0.012125293413798014,0.010220503807067871,0.013123035430908203,0.013032341003417968,COMPLETE,0.012125293413798014,0.010220503807067871,0.013123035430908203,0.013032341003417968
35,0.21608571261167525,2025-08-24 20:33:38.897851,2025-08-24 21:03:30.608417,0 days 00:29:51.710566,20,0.00023030123347169337,uniform,5,zero,,0.00022925779841068158,7530,624,304,272,,colnorm,Glorot,,logistic,0.013028415044148763,0.013199710845947265,0.012830328941345216,0.013055205345153809,COMPLETE,0.013028415044148763,0.013199710845947265,0.012830328941345216,0.013055205345153809
36,0.10000000149011612,2025-08-24 21:03:30.609273,2025-08-24 21:09:45.881098,0 days 00:06:15.271825,100,,uniform,6,nz,0.007026571679037962,0.5761867715961069,345,480,560,336,0.9027008437002731,pca,Glorot,,logistic,0.012995290756225584,0.012926983833312988,0.01321272850036621,0.012846159934997558,COMPLETE,0.012995290756225584,0.012926983833312988,0.01321272850036621,0.012846159934997558
