number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
55,0.929677406946818,2025-09-03 18:09:27.068360,2025-09-03 18:15:36.153392,0 days 00:06:09.085032,100,normal,5,zero,,0.20976626728682976,4923,688,944,496,Glorot,,tanh,0.002736740642123752,0.0018660227457682292,0.00273589293162028,0.0036083062489827475,COMPLETE,0.002736740642123752,0.0018660227457682292,0.00273589293162028,0.0036083062489827475
56,0.9327419400215149,2025-09-03 18:15:36.153830,2025-09-03 18:21:46.724672,0 days 00:06:10.570842,100,normal,7,zero,,0.19102959053259913,8704,720,928,256,old,0.8953142134063171,tanh,0.001860923237270779,0.0016380945841471355,0.0022139151891072593,0.0017307599385579426,COMPLETE,0.001860923237270779,0.0016380945841471355,0.0022139151891072593,0.0017307599385579426
57,0.9213386575380961,2025-09-03 18:21:46.725110,2025-09-03 18:52:44.059284,0 days 00:30:57.334174,20,normal,6,zero,,0.07254386728130742,5522,384,960,416,Glorot,,logistic,0.0038907130559285483,0.0008508761723836263,0.006469209988911946,0.004352053006490071,COMPLETE,0.0038907130559285483,0.0008508761723836263,0.006469209988911946,0.004352053006490071
58,0.91111292441686,2025-09-03 18:52:44.059892,2025-09-03 18:58:58.225604,0 days 00:06:14.165712,100,normal,5,zero,,0.02250127171661947,4875,672,976,432,Glorot,,tanh,0.010156856642829048,0.009419957796732584,0.010661999384562174,0.010388612747192383,COMPLETE,0.010156856642829048,0.009419957796732584,0.010661999384562174,0.010388612747192383
59,0.9224677085876465,2025-09-03 18:58:58.226046,2025-09-03 19:05:08.698595,0 days 00:06:10.472549,100,normal,8,zero,,0.08400294900327064,2629,784,992,320,old,1.506541115261403,tanh,0.006869157155354817,0.006371100743611653,0.007714072863260905,0.0065222978591918945,COMPLETE,0.006869157155354817,0.006371100743611653,0.007714072863260905,0.0065222978591918945
60,0.09972580522298813,2025-09-03 19:05:08.699039,2025-09-03 19:11:32.815532,0 days 00:06:24.116493,100,uniform,7,nz,1.0711083771716464e-06,0.7720080760829577,2779,720,912,336,old,0.9185622122867156,tanh,,,,,COMPLETE,,,,
61,0.9303064743677775,2025-09-03 19:11:32.815976,2025-09-03 19:17:42.247493,0 days 00:06:09.431517,100,normal,7,zero,,0.08394535692792203,7612,720,1024,608,old,0.8657265365136063,tanh,0.006190127796596951,0.005082170168558757,0.006102760632832845,0.007385452588399251,COMPLETE,0.006190127796596951,0.005082170168558757,0.006102760632832845,0.007385452588399251
62,0.8762096563975016,2025-09-03 19:17:42.247929,2025-09-03 19:23:51.512744,0 days 00:06:09.264815,100,normal,7,zero,,0.006230593435040593,4588,752,912,688,old,0.9136138630401438,tanh,0.011846780776977539,0.011515061060587565,0.012067675590515137,0.011957605679829916,COMPLETE,0.011846780776977539,0.011515061060587565,0.012067675590515137,0.011957605679829916
63,0.925806442896525,2025-09-03 19:23:51.513368,2025-09-03 19:30:01.212365,0 days 00:06:09.698997,100,normal,7,zero,,0.44839058819028127,4873,784,992,144,old,0.8847095245271647,tanh,0.001287804709540473,0.00018966197967529297,0.002873579661051432,0.000800172487894694,COMPLETE,0.001287804709540473,0.00018966197967529297,0.002873579661051432,0.000800172487894694
64,0.09972580522298813,2025-09-03 19:30:01.212802,2025-09-03 19:36:11.036294,0 days 00:06:09.823492,100,normal,8,zero,,0.8976117065994031,7752,576,752,704,Glorot,,tanh,,,,,COMPLETE,,,,
65,0.9281451304753622,2025-09-03 19:36:11.036726,2025-09-03 20:08:24.692436,0 days 00:32:13.655710,20,normal,6,nz,0.0002039920453357596,0.03311704355880406,9476,384,848,160,Glorot,,tanh,0.0019293626149495442,0.001634518305460612,0.003351291020711263,0.0008022785186767578,COMPLETE,0.0019293626149495442,0.001634518305460612,0.003351291020711263,0.0008022785186767578
66,0.6508753374218941,2025-09-03 20:08:24.692868,2025-09-03 20:14:49.878449,0 days 00:06:25.185581,100,normal,5,nz,1.1862419797005747e-06,0.41319619171407435,9071,736,816,272,old,0.8892873093169731,tanh,,,,,COMPLETE,,,,
67,0.9165483713150024,2025-09-03 20:14:49.878893,2025-09-03 20:45:50.568707,0 days 00:31:00.689814,20,normal,6,zero,,0.008576791156360083,6960,304,928,208,old,0.8445890037840835,tanh,0.008308927218119303,0.007176399230957031,0.010122537612915039,0.00762784481048584,COMPLETE,0.008308927218119303,0.007176399230957031,0.010122537612915039,0.00762784481048584
68,0.09972580522298813,2025-09-03 20:45:50.569163,2025-09-03 21:16:38.363472,0 days 00:30:47.794309,20,uniform,5,zero,,0.6631759008829627,9893,352,704,304,Glorot,,tanh,,,,,COMPLETE,,,,
69,0.9315322438875834,2025-09-03 21:16:38.364035,2025-09-03 21:22:50.650282,0 days 00:06:12.286247,100,uniform,8,zero,,0.1174332527734822,6635,816,672,160,old,0.8175574558617389,tanh,0.0037863916820949973,0.004760265350341797,0.00352172056833903,0.0030771891276041665,COMPLETE,0.0037863916820949973,0.004760265350341797,0.00352172056833903,0.0030771891276041665
70,0.9187580943107605,2025-09-03 21:22:50.650711,2025-09-03 21:29:07.771653,0 days 00:06:17.120942,100,uniform,8,zero,,0.12906152739759244,5946,688,880,208,old,1.1733020056671521,logistic,0.0025178458955552843,0.0020197629928588867,0.004014929135640462,0.001518845558166504,COMPLETE,0.0025178458955552843,0.0020197629928588867,0.004014929135640462,0.001518845558166504
71,0.9294838905334473,2025-09-03 21:29:07.772310,2025-09-03 21:35:16.783246,0 days 00:06:09.010936,100,uniform,7,zero,,0.307074890155982,4723,880,496,288,old,0.8206781578467458,tanh,0.0016363461812337239,0.0010509093602498372,0.0015773773193359375,0.002280751864115397,COMPLETE,0.0016363461812337239,0.0010509093602498372,0.0015773773193359375,0.002280751864115397
72,0.9127902785936991,2025-09-03 21:35:16.783832,2025-09-03 21:41:30.555237,0 days 00:06:13.771405,100,uniform,8,zero,,0.0246414631973511,2753,768,736,192,old,0.8808465065595249,tanh,0.0103300412495931,0.01090383529663086,0.010935624440511068,0.00915066401163737,COMPLETE,0.0103300412495931,0.01090383529663086,0.010935624440511068,0.00915066401163737
73,0.9338064392407736,2025-09-03 21:41:30.555674,2025-09-03 22:12:40.099319,0 days 00:31:09.543645,20,normal,8,zero,,0.08459204957121202,8268,928,1024,672,old,0.8705571294443315,tanh,0.003075268533494737,0.0014296770095825195,0.0033282041549682617,0.004467924435933431,COMPLETE,0.003075268533494737,0.0014296770095825195,0.0033282041549682617,0.004467924435933431
74,0.9017741878827413,2025-09-03 22:12:40.099752,2025-09-03 22:45:07.407016,0 days 00:32:27.307264,20,normal,8,nz,1.6744677468167856e-05,0.006988989829140687,2411,864,736,752,old,0.8942382361524353,tanh,0.011607276068793401,0.011289040247599283,0.011706233024597168,0.011826554934183756,COMPLETE,0.011607276068793401,0.011289040247599283,0.011706233024597168,0.011826554934183756
