number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
26,0.5275159279505411,2025-09-03 07:02:02.747648,2025-09-03 07:07:33.363157,0 days 00:05:30.615509,100,normal,6,zero,,0.00016234830431242263,3158,688,736,960,old,0.2544550137741095,logistic,0.01310053136613634,0.013098955154418945,0.01312708854675293,0.013075550397237143,COMPLETE,0.01310053136613634,0.013098955154418945,0.01312708854675293,0.013075550397237143
27,0.15587096412976584,2025-09-03 07:07:33.363898,2025-09-03 07:38:07.866608,0 days 00:30:34.502710,20,normal,8,nz,1.1833946707195962e-05,0.0004153238551851028,176,944,192,832,Glorot,,logistic,0.013101961877610946,0.013138294219970703,0.0131227175394694,0.01304487387339274,COMPLETE,0.013101961877610946,0.013138294219970703,0.0131227175394694,0.01304487387339274
28,0.11269354820251465,2025-09-03 07:38:07.867380,2025-09-03 07:43:42.472125,0 days 00:05:34.604745,100,normal,8,zero,,0.00027076433920494625,203,480,272,576,Glorot,,logistic,0.01301717758178711,0.013126651446024576,0.012859741846720377,0.013065139452616373,COMPLETE,0.01301717758178711,0.013126651446024576,0.012859741846720377,0.013065139452616373
29,0.8238386909166971,2025-09-03 07:43:42.472555,2025-09-03 08:12:49.696885,0 days 00:29:07.224330,20,normal,6,nz,0.0005702005920390691,0.023827197087659714,8278,688,336,912,Glorot,,logistic,0.0031250317891438804,0.0032581090927124023,0.0020061333974202475,0.004110852877298991,COMPLETE,0.0031250317891438804,0.0032581090927124023,0.0020061333974202475,0.004110852877298991
30,0.8129999836285909,2025-09-03 08:12:49.697686,2025-09-03 08:18:39.062136,0 days 00:05:49.364450,100,uniform,8,nz,3.8729565246854525e-05,0.061244587609138076,6595,272,128,576,Glorot,,tanh,0.003294070561726888,0.0020685593287150064,0.0014979044596354167,0.006315747896830241,COMPLETE,0.003294070561726888,0.0020685593287150064,0.0014979044596354167,0.006315747896830241
31,0.7987581888834635,2025-09-03 08:18:39.062567,2025-09-03 08:24:17.611734,0 days 00:05:38.549167,100,normal,5,zero,,0.17865334533642033,668,352,880,144,Glorot,,logistic,0.006048467424180772,0.006037195523579915,0.009553352991739908,0.0025548537572224936,COMPLETE,0.006048467424180772,0.006037195523579915,0.009553352991739908,0.0025548537572224936
32,0.6913224856058756,2025-09-03 08:24:17.612444,2025-09-03 08:53:26.160824,0 days 00:29:08.548380,20,normal,8,nz,3.042048190917116e-07,0.0024865729443567025,230,848,352,432,old,1.9863089596180703,tanh,0.012988660070631241,0.012972593307495117,0.013035019238789877,0.012958367665608725,COMPLETE,0.012988660070631241,0.012972593307495117,0.013035019238789877,0.012958367665608725
33,0.11662897219260533,2025-09-03 08:53:26.161287,2025-09-03 08:59:28.144577,0 days 00:06:01.983290,100,uniform,5,nz,2.195171270562009e-06,0.00019975831193664464,686,176,640,288,Glorot,,logistic,0.013158440589904785,0.013461947441101074,0.01309033234914144,0.012923041979471842,COMPLETE,0.013158440589904785,0.013461947441101074,0.01309033234914144,0.012923041979471842
34,0.8201128840446472,2025-09-03 08:59:28.145010,2025-09-03 09:05:49.510704,0 days 00:06:21.365694,100,normal,8,nz,2.2657139148687036e-08,0.03027486441882579,6990,864,336,336,Glorot,,tanh,0.007891138394673666,0.007727146148681641,0.007349729537963867,0.008596539497375488,COMPLETE,0.007891138394673666,0.007727146148681641,0.007349729537963867,0.008596539497375488
35,0.6955644488334656,2025-09-03 09:05:49.511142,2025-09-03 09:35:31.628877,0 days 00:29:42.117735,20,normal,5,nz,2.7516835917045693e-07,0.001648673030222091,397,864,480,256,Glorot,,tanh,0.012916670905219184,0.012978037198384603,0.013031244277954102,0.012740731239318848,COMPLETE,0.012916670905219184,0.012978037198384603,0.013031244277954102,0.012740731239318848
