number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
54,0.09972580820322037,2025-09-03 07:33:59.262792,2025-09-03 08:07:55.013868,0 days 00:33:55.751076,20,uniform,5,zero,,0.5551725112915533,2315,752,old,0.9017428182570936,tanh,,COMPLETE,
55,0.8113064885139465,2025-09-03 08:07:55.014290,2025-09-03 08:15:10.868993,0 days 00:07:15.854703,100,uniform,6,nz,1.0371465736052497e-08,0.0045232277454288925,4252,992,old,1.2941748957283943,tanh,0.010832881927490235,COMPLETE,0.010832881927490235
56,0.9229032397270203,2025-09-03 08:15:10.869407,2025-09-03 08:22:20.187423,0 days 00:07:09.318016,100,uniform,6,nz,1.6353646596162606e-07,0.33877598811035786,6530,992,Glorot,,tanh,0.0001899242401123047,COMPLETE,0.0001899242401123047
57,0.3985161453485489,2025-09-03 08:22:20.192965,2025-09-03 08:29:29.268582,0 days 00:07:09.075617,100,uniform,6,nz,4.6738652054742806e-07,0.5358311372967917,2767,896,Glorot,,logistic,0.0030426740646362304,COMPLETE,0.0030426740646362304
58,0.31227420419454577,2025-09-03 08:29:29.269377,2025-09-03 09:03:09.391880,0 days 00:33:40.122503,20,uniform,5,zero,,0.45791521053561146,3524,960,Glorot,,logistic,0.0031998872756958006,COMPLETE,0.0031998872756958006
59,0.9222419500350952,2025-09-03 09:03:09.392800,2025-09-03 09:10:25.698535,0 days 00:07:16.305735,100,uniform,6,nz,4.6974363058953393e-07,0.21875436769584686,9800,960,Glorot,,tanh,0.00048468112945556643,COMPLETE,0.00048468112945556643
60,0.9231290459632874,2025-09-03 09:10:25.699193,2025-09-03 09:17:12.549518,0 days 00:06:46.850325,100,uniform,6,zero,,0.6273527796647869,6718,1008,Glorot,,tanh,0.0018962860107421876,COMPLETE,0.0018962860107421876
61,0.9030322909355164,2025-09-03 09:17:12.550226,2025-09-03 09:24:01.268812,0 days 00:06:48.718586,100,uniform,6,zero,,0.0573097142094303,5867,880,Glorot,,tanh,0.003401970863342285,COMPLETE,0.003401970863342285
62,0.8987581014633179,2025-09-03 09:24:01.269615,2025-09-03 09:31:14.990900,0 days 00:07:13.721285,100,uniform,8,nz,2.7423864307601544e-07,0.045247137837288925,5870,880,Glorot,,tanh,0.0037427186965942384,COMPLETE,0.0037427186965942384
63,0.09972580820322037,2025-09-03 09:31:14.991317,2025-09-03 09:38:22.159851,0 days 00:07:07.168534,100,uniform,6,nz,3.4618393209881933e-07,0.9764055921986514,9074,928,Glorot,,tanh,,COMPLETE,
64,0.09972580820322037,2025-09-03 09:38:22.160865,2025-09-03 10:12:08.366959,0 days 00:33:46.206094,20,normal,8,zero,,0.6376753487837479,1476,784,Glorot,,tanh,,COMPLETE,
65,0.9294032454490662,2025-09-03 10:12:08.367361,2025-09-03 10:48:43.151859,0 days 00:36:34.784498,20,uniform,6,nz,1.8562994178944103e-07,0.14338527448998015,9648,912,Glorot,,tanh,4.177093505859375e-05,COMPLETE,4.177093505859375e-05
66,0.9201451778411865,2025-09-03 10:48:43.152278,2025-09-03 11:24:25.415581,0 days 00:35:42.263303,20,uniform,6,nz,8.138588758681034e-08,0.04340195736340233,8922,864,Glorot,,tanh,0.0013833999633789062,COMPLETE,0.0013833999633789062
67,0.746096807718277,2025-09-03 11:24:25.416553,2025-09-03 11:31:12.454987,0 days 00:06:47.038434,100,uniform,6,zero,,0.18223368694677483,9058,976,Glorot,,logistic,0.0008170366287231446,COMPLETE,0.0008170366287231446
68,0.09972580820322037,2025-09-03 11:31:12.455388,2025-09-03 12:07:12.964880,0 days 00:36:00.509492,20,uniform,6,nz,9.599981992055087e-08,0.505309663615244,7325,800,old,1.9970125428303782,tanh,,COMPLETE,
69,0.9254354953765869,2025-09-03 12:07:12.965670,2025-09-03 12:43:13.064183,0 days 00:36:00.098513,20,uniform,8,nz,1.0469858389990203e-08,0.21438062940322344,3676,960,Glorot,,tanh,5.5861473083496096e-05,COMPLETE,5.5861473083496096e-05
70,0.5655806690454483,2025-09-03 12:43:13.064615,2025-09-03 13:20:14.325895,0 days 00:37:01.261280,20,uniform,8,nz,1.0784036595744282e-08,0.41404069553204403,3329,912,Glorot,,tanh,,COMPLETE,
