number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
34,0.37967899441719055,2025-09-02 13:37:23.573650,2025-09-02 13:40:04.544429,0 days 00:02:40.970779,512,normal,7,zero,,0.4080388969790123,813,976,752,304,192,Glorot,,tanh,0.011368632316589355,0.011839350064595541,0.011576692263285318,0.01274561882019043,0.010409116744995117,0.009263157844543457,0.006695389747619629,0.01055685111454555,0.37967899441719055,0.011723021247168796,COMPLETE
35,0.6360016663869222,2025-09-02 13:40:04.544856,2025-09-02 13:43:04.361719,0 days 00:02:59.816863,512,uniform,5,nz,3.95691079982726e-05,0.11775755469457652,248,464,176,784,704,old,1.0259352429407134,tanh,0.013182401657104492,0.013050079345703125,0.013031919797261557,0.012895584106445312,0.013025005658467611,0.013052105903625488,0.009199897448221842,0.012490999130975634,0.6360016663869222,0.031963797058456936,COMPLETE
36,0.7506545782089233,2025-09-02 13:43:04.362142,2025-09-02 13:46:40.717381,0 days 00:03:36.355239,512,uniform,8,zero,,0.036274503392407495,288,1024,880,320,560,old,1.129578690844106,logistic,0.013059417406717936,0.013070464134216309,0.013012210528055826,0.013014634450276693,0.013155142466227213,0.01315744717915853,0.012619336446126303,0.013012664658682685,0.7506545782089233,0.018179885166481134,COMPLETE
37,0.3641124765078227,2025-09-02 13:46:40.717799,2025-09-02 13:49:35.349889,0 days 00:02:54.632090,512,normal,8,zero,,0.7026571679037953,351,704,800,288,512,Glorot,,tanh,0.011481602986653646,0.01216419537862142,0.012355963389078775,0.012528061866760254,0.012007713317871094,0.010396480560302734,0.007217089335123698,0.011164443833487376,0.3641124765078227,0.009892343274085395,COMPLETE
38,0.7894038359324137,2025-09-02 13:49:35.350340,2025-09-02 13:54:15.877173,0 days 00:04:40.526833,256,uniform,7,nz,8.244328847861404e-07,0.010843892878441716,158,992,560,864,224,Glorot,,tanh,0.01301745573679606,0.013062516848246256,0.013314366340637207,0.013070146242777506,0.013142943382263184,0.013112624486287435,0.01297609011332194,0.013099449021475655,0.7894038359324137,0.021606249695306206,COMPLETE
39,0.6382428407669067,2025-09-02 13:54:15.878072,2025-09-02 14:05:56.582621,0 days 00:11:40.704549,100,normal,7,zero,,0.019469773326576473,266,528,736,864,848,old,1.6439028897719594,tanh,0.013062238693237305,0.01307682196299235,0.012975692749023438,0.0131607453028361,0.012979626655578613,0.012964765230814615,0.012784719467163086,0.013000658580235072,0.6382428407669067,0.02067889919884441,COMPLETE
40,0.4850851694742839,2025-09-02 14:05:56.583375,2025-09-02 14:09:33.671042,0 days 00:03:37.087667,512,uniform,6,nz,3.857174781334696e-07,0.015873832288492918,3051,272,720,848,496,old,0.2695637448948679,tanh,0.013021588325500488,0.013050397237141928,0.01301280657450358,0.012909531593322754,0.013006091117858887,0.012784798940022787,0.011393268903096518,0.012739783241635275,0.4850851694742839,0.010457961387291513,COMPLETE
41,0.9373539288838705,2025-09-02 14:09:33.671477,2025-09-02 15:09:14.260762,0 days 00:59:40.589285,20,uniform,5,nz,3.386321498655938e-06,1.3449992816910692e-05,9201,992,608,304,496,Glorot,,tanh,0.013190468152364096,0.013065536816914877,0.012944658597310385,0.013071060180664062,0.01305838425954183,0.013100584348042807,0.013081590334574381,0.013073183241344632,0.9373539288838705,0.03228468689583116,COMPLETE
42,0.3297279079755147,2025-09-02 15:09:14.261212,2025-09-02 15:20:43.826964,0 days 00:11:29.565752,100,normal,8,zero,,0.23346488990458916,9881,176,784,304,320,Glorot,,logistic,0.009664018948872885,0.010123610496520996,0.010301788647969564,0.010423024495442709,0.009007414182027182,0.007612188657124837,0.0018280744552612305,0.008422874269031344,0.3297279079755147,0.007185287064073003,COMPLETE
43,0.9522463877995809,2025-09-02 15:20:43.827394,2025-09-02 15:25:14.654533,0 days 00:04:30.827139,256,normal,6,zero,,5.05629522128911e-05,628,672,736,128,928,Glorot,,tanh,0.012996753056844076,0.01300954818725586,0.01305703322092692,0.013112624486287435,0.013092915217081705,0.01251081625620524,0.013091286023457846,0.01298156806400844,0.9522463877995809,0.011315209215024272,COMPLETE
