number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
36,0.11366129368543625,2025-08-24 21:42:08.258285,2025-08-24 21:47:42.571979,0 days 00:05:34.313694,100,,uniform,6,nz,0.007026571679037962,0.5761867715961069,345,480,560,336,0.9027008437002731,pca,Glorot,,logistic,0.009999879201253255,0.013028883934020996,0.013225436210632324,0.0037453174591064453,COMPLETE,0.009999879201253255,0.013028883934020996,0.013225436210632324,0.0037453174591064453
37,0.11366129368543625,2025-08-24 21:47:42.572300,2025-08-24 21:53:05.021277,0 days 00:05:22.448977,100,,uniform,8,zero,,0.04691042508931178,325,320,656,880,,raw,old,0.7969697448675397,logistic,0.01319133440653483,0.013068699836730957,0.013405585289001464,0.01309971809387207,COMPLETE,0.01319133440653483,0.013068699836730957,0.013405585289001464,0.01309971809387207
38,0.11366129368543625,2025-08-24 21:53:05.021537,2025-08-24 21:58:26.090641,0 days 00:05:21.069104,100,1.3392800430171726e-07,uniform,7,zero,,5.181088778462791e-05,1530,624,768,64,,colnorm,old,0.5361051597480313,logistic,0.012982575098673503,0.013241934776306152,0.012793517112731934,0.012912273406982422,COMPLETE,0.012982575098673503,0.013241934776306152,0.012793517112731934,0.012912273406982422
39,0.11366129368543625,2025-08-24 21:58:26.090979,2025-08-24 22:26:08.956782,0 days 00:27:42.865803,20,,uniform,6,nz,2.7074231357934203e-07,2.7495142582401574e-05,3457,528,320,288,,raw,old,0.9842803384827483,logistic,0.01310107707977295,0.013220262527465821,0.013056230545043946,0.013026738166809082,COMPLETE,0.01310107707977295,0.013220262527465821,0.013056230545043946,0.013026738166809082
40,0.11366129368543625,2025-08-24 22:26:08.957159,2025-08-24 22:52:38.598484,0 days 00:26:29.641325,20,,uniform,7,zero,,7.1487242727983216e-06,669,400,672,560,0.733548195301683,pca,Glorot,,logistic,0.013132508595784506,0.012880969047546386,0.01316540241241455,0.013351154327392579,COMPLETE,0.013132508595784506,0.012880969047546386,0.01316540241241455,0.013351154327392579
41,0.11366129368543625,2025-08-24 22:52:38.598870,2025-08-24 22:58:11.928732,0 days 00:05:33.329862,100,,uniform,5,nz,2.172158274853957e-05,4.971380801717752e-05,489,848,896,752,0.6078982381999125,pca,old,1.570720193391757,logistic,0.013122892379760743,0.01303246021270752,0.013171696662902832,0.013164520263671875,COMPLETE,0.013122892379760743,0.01303246021270752,0.013171696662902832,0.013164520263671875
42,0.11366129368543625,2025-08-24 22:58:11.929032,2025-08-24 23:03:34.584434,0 days 00:05:22.655402,100,,normal,6,zero,,5.05629522128911e-05,628,704,16,912,,raw,old,1.6729318569045701,logistic,0.013407293955485025,0.013390612602233887,0.013930916786193848,0.012900352478027344,COMPLETE,0.013407293955485025,0.013390612602233887,0.013930916786193848,0.012900352478027344
43,0.796129047870636,2025-08-24 23:03:34.584728,2025-08-24 23:08:56.976871,0 days 00:05:22.392143,100,,uniform,7,zero,,0.004181806786036181,9187,128,272,528,0.5725305842963468,pca,old,0.6347679358457043,tanh,0.009987243016560872,0.0078086376190185545,0.010605502128601074,0.011547589302062988,COMPLETE,0.009987243016560872,0.0078086376190185545,0.010605502128601074,0.011547589302062988
44,0.12166129499673843,2025-08-24 23:08:56.977149,2025-08-24 23:37:00.135273,0 days 00:28:03.158124,20,,uniform,7,nz,2.560791683250174e-08,6.497661227159869e-05,996,448,944,160,0.878173217327606,pca,Glorot,,tanh,0.013232040405273439,0.013225603103637695,0.01312410831451416,0.013346409797668457,COMPLETE,0.013232040405273439,0.013225603103637695,0.01312410831451416,0.013346409797668457
45,0.7541451930999756,2025-08-24 23:37:00.136186,2025-08-25 00:04:40.862148,0 days 00:27:40.725962,20,,uniform,6,nz,4.2668947270063475e-06,0.009261598751419355,1303,240,864,224,0.7526980705455009,pca,old,1.2313563468120658,tanh,0.010953283309936524,0.00998547077178955,0.012154674530029297,0.010719704627990722,COMPLETE,0.010953283309936524,0.00998547077178955,0.012154674530029297,0.010719704627990722
46,0.20856452584266663,2025-08-25 00:04:40.862976,2025-08-25 00:10:20.548953,0 days 00:05:39.685977,100,,uniform,5,nz,3.29024119804691e-08,1.2532733251536745e-06,125,224,896,592,0.9280040816529784,pca,old,1.95298129373683,tanh,0.013213523228963216,0.013239884376525879,0.01318669319152832,0.01321399211883545,COMPLETE,0.013213523228963216,0.013239884376525879,0.01318669319152832,0.01321399211883545
47,0.2475000113248825,2025-08-25 00:10:20.549250,2025-08-25 00:15:41.944264,0 days 00:05:21.395014,100,,normal,5,zero,,0.00011442100841843391,306,128,672,816,0.7013913968225263,pca,old,1.2743207063277995,tanh,0.013165664672851565,0.012972521781921386,0.013147926330566407,0.013376545906066895,COMPLETE,0.013165664672851565,0.012972521781921386,0.013147926330566407,0.013376545906066895
48,0.7849032521247864,2025-08-25 00:15:41.944566,2025-08-25 00:43:24.104782,0 days 00:27:42.160216,20,1.5213799637263695e-05,normal,7,nz,0.00010849668078145311,0.04064835377827358,383,576,496,1008,,colnorm,Glorot,,tanh,0.011256599426269531,0.010715460777282715,0.011071562767028809,0.01198277473449707,COMPLETE,0.011256599426269531,0.010715460777282715,0.011071562767028809,0.01198277473449707
49,0.11366129368543625,2025-08-25 00:43:24.105137,2025-08-25 01:11:13.727521,0 days 00:27:49.622384,20,,uniform,6,nz,0.0007388299612462084,2.6838463465390414e-05,258,192,128,848,,raw,Glorot,,logistic,0.012959162394205729,0.012823724746704101,0.012879228591918946,0.01317453384399414,COMPLETE,0.012959162394205729,0.012823724746704101,0.012879228591918946,0.01317453384399414
50,0.5040967702865601,2025-08-25 01:11:13.727892,2025-08-25 01:38:50.763150,0 days 00:27:37.035258,20,,uniform,8,nz,1.908237513615749e-06,0.009531024033067244,2537,288,272,80,,raw,old,0.27563829445908666,tanh,0.011194523175557455,0.012147164344787598,0.01188359260559082,0.009552812576293946,COMPLETE,0.011194523175557455,0.012147164344787598,0.01188359260559082,0.009552812576293946
51,0.3823225975036621,2025-08-25 01:38:50.763548,2025-08-25 01:44:31.575217,0 days 00:05:40.811669,100,,normal,8,nz,0.0005657840674477493,0.034360924836067806,2216,336,48,592,0.899069644786243,pca,Glorot,,logistic,0.007719596227010091,0.009970664978027344,0.002727246284484863,0.010460877418518066,COMPLETE,0.007719596227010091,0.009970664978027344,0.002727246284484863,0.010460877418518066
52,0.11366129368543625,2025-08-25 01:44:31.575554,2025-08-25 02:12:09.164348,0 days 00:27:37.588794,20,,normal,8,nz,1.4738360525117118e-05,0.01606188977318872,768,832,896,544,,raw,Glorot,,logistic,0.013078506787618002,0.01293487548828125,0.01325225830078125,0.013048386573791504,COMPLETE,0.013078506787618002,0.01293487548828125,0.01325225830078125,0.013048386573791504
53,0.11366129368543625,2025-08-25 02:12:09.165948,2025-08-25 02:17:48.603363,0 days 00:05:39.437415,100,6.415696825107625e-08,uniform,6,nz,1.463798032767135e-05,1.8880093046200602e-05,4520,656,624,544,,colnorm,old,0.33226944075447534,logistic,0.013137873013814291,0.013067173957824706,0.013088703155517578,0.013257741928100586,COMPLETE,0.013137873013814291,0.013067173957824706,0.013088703155517578,0.013257741928100586
54,0.11366129368543625,2025-08-25 02:17:48.604246,2025-08-25 02:23:05.545488,0 days 00:05:16.941242,100,1.751843747942396e-08,normal,5,zero,,0.00039626846541448643,137,272,768,32,,colnorm,Glorot,,tanh,0.012858096758524576,0.012778401374816895,0.013188934326171875,0.012606954574584961,COMPLETE,0.012858096758524576,0.012778401374816895,0.013188934326171875,0.012606954574584961
