number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
62,0.0978064551949501,2025-09-03 06:55:46.867965,2025-09-03 07:32:51.003383,0 days 00:37:04.135418,20,uniform,5,nz,6.064208742715132e-06,0.6902459149071866,1929,832,old,1.9969652707510053,tanh,,COMPLETE,
63,0.8460806727409362,2025-09-03 07:32:51.004305,2025-09-03 07:40:13.320240,0 days 00:07:22.315935,100,normal,8,nz,4.202089711387344e-06,0.1579623314322276,4884,608,Glorot,,logistic,0.00044200420379638674,COMPLETE,0.00044200420379638674
64,0.8522419571876526,2025-09-03 07:40:13.321169,2025-09-03 07:47:36.113141,0 days 00:07:22.791972,100,uniform,8,nz,2.176165220708391e-05,0.14670204844277493,8994,480,Glorot,,tanh,0.0016231060028076172,COMPLETE,0.0016231060028076172
65,0.8942903637886047,2025-09-03 07:47:36.113568,2025-09-03 08:22:25.146687,0 days 00:34:49.033119,20,uniform,7,zero,,0.1739684268238513,4951,416,old,1.9985722765949823,logistic,0.00034444332122802735,COMPLETE,0.00034444332122802735
66,0.8470484137535095,2025-09-03 08:22:25.147613,2025-09-03 08:57:09.696163,0 days 00:34:44.548550,20,uniform,7,zero,,0.24477994748815923,923,416,old,1.9986690792453243,logistic,0.0010200738906860352,COMPLETE,0.0010200738906860352
67,0.880129086971283,2025-09-03 08:57:09.696938,2025-09-03 09:32:05.516629,0 days 00:34:55.819691,20,uniform,7,zero,,0.10537654999167205,5836,544,old,1.7440612462097242,logistic,0.00029659271240234375,COMPLETE,0.00029659271240234375
68,0.8684516310691833,2025-09-03 09:32:05.517068,2025-09-03 10:06:52.341469,0 days 00:34:46.824401,20,uniform,7,zero,,0.08173432455962219,6320,432,Glorot,,logistic,0.00016450881958007812,COMPLETE,0.00016450881958007812
69,0.8710000395774842,2025-09-03 10:06:52.341903,2025-09-03 10:43:42.882861,0 days 00:36:50.540958,20,normal,7,nz,0.00029606177170405604,0.5019408091413899,2390,208,old,1.9955472959122642,logistic,0.13219258785247803,COMPLETE,0.13219258785247803
70,0.8249677896499634,2025-09-03 10:43:42.883313,2025-09-03 11:20:38.672077,0 days 00:36:55.788764,20,uniform,6,nz,0.0008338640308961353,0.0038547567378798184,6944,464,old,1.7343496622128705,logistic,0.0071593523025512695,COMPLETE,0.0071593523025512695
71,0.8016451716423034,2025-09-03 11:20:38.673074,2025-09-03 11:57:30.575107,0 days 00:36:51.902033,20,normal,5,nz,2.3810394583349583e-06,0.019237598267443423,4169,576,old,1.9829826824441399,tanh,0.00639495849609375,COMPLETE,0.00639495849609375
72,0.8332419753074646,2025-09-03 11:57:30.576029,2025-09-03 12:04:55.536845,0 days 00:07:24.960816,100,uniform,7,nz,3.0106950330868784e-06,0.0565776933799573,8521,160,old,1.993564524855386,logistic,1.6355514526367186e-05,COMPLETE,1.6355514526367186e-05
73,0.8679032444953918,2025-09-03 12:04:55.537270,2025-09-03 12:41:53.959555,0 days 00:36:58.422285,20,normal,6,nz,3.295550017445529e-05,0.04715913489991032,9860,752,Glorot,,tanh,0.0024113893508911134,COMPLETE,0.0024113893508911134
74,0.8580000162124634,2025-09-03 12:41:53.960002,2025-09-03 12:49:26.092941,0 days 00:07:32.132939,100,uniform,8,nz,2.313342024628157e-05,0.2564292983057718,2532,416,old,1.9739490523511065,tanh,0.001314997673034668,COMPLETE,0.001314997673034668
75,0.0978064551949501,2025-09-03 12:49:26.093390,2025-09-03 13:24:03.074262,0 days 00:34:36.980872,20,uniform,5,zero,,0.7288040856094814,2120,736,old,0.7087592144663892,tanh,,COMPLETE,
76,0.8183226346969604,2025-09-03 13:24:03.075173,2025-09-03 13:58:49.852384,0 days 00:34:46.777211,20,uniform,8,zero,,0.01474122290524585,5191,352,old,1.9992690333613978,logistic,0.005302715301513672,COMPLETE,0.005302715301513672
77,0.7113548755645752,2025-09-03 13:58:49.852828,2025-09-03 14:35:54.255308,0 days 00:37:04.402480,20,uniform,8,nz,1.6191891339683268e-06,0.39743254815622214,9805,656,old,1.6865601755226296,logistic,0.0017771244049072266,COMPLETE,0.0017771244049072266
78,0.740790331363678,2025-09-03 14:35:54.255752,2025-09-03 15:10:29.935122,0 days 00:34:35.679370,20,uniform,7,zero,,0.0015080724192630306,3886,144,old,1.736060531628265,logistic,0.006902718544006347,COMPLETE,0.006902718544006347
79,0.9020968079566956,2025-09-03 15:10:29.935890,2025-09-03 15:47:22.828611,0 days 00:36:52.892721,20,uniform,8,nz,4.078248581952483e-05,0.1878162843505446,9838,640,Glorot,,tanh,0.004753828048706055,COMPLETE,0.004753828048706055
80,0.893725848197937,2025-09-03 15:47:22.829071,2025-09-03 16:24:23.130277,0 days 00:37:00.301206,20,uniform,8,nz,0.00014738271267103394,0.19712396304675295,2040,672,Glorot,,tanh,0.00018608570098876953,COMPLETE,0.00018608570098876953
81,0.8653064608573914,2025-09-03 16:24:23.130724,2025-09-03 17:01:26.440416,0 days 00:37:03.309692,20,uniform,8,nz,0.00018101624437118075,0.04100123735592047,9116,896,Glorot,,tanh,0.002011227607727051,COMPLETE,0.002011227607727051
82,0.8427419662475586,2025-09-03 17:01:26.440885,2025-09-03 17:38:27.262950,0 days 00:37:00.822065,20,uniform,8,nz,0.008463568353554312,0.38721074009173917,7624,592,Glorot,,tanh,0.005232596397399902,COMPLETE,0.005232596397399902
83,0.6471129357814789,2025-09-03 17:38:27.263651,2025-09-03 18:15:19.022054,0 days 00:36:51.758403,20,uniform,6,nz,0.00012378405943944682,0.35123887031886325,1121,544,Glorot,,logistic,0.001265573501586914,COMPLETE,0.001265573501586914
84,0.8664193749427795,2025-09-03 18:15:19.022489,2025-09-03 18:52:18.068151,0 days 00:36:59.045662,20,uniform,8,nz,0.0001134096277153852,0.14222291257514136,1252,576,Glorot,,tanh,0.001226520538330078,COMPLETE,0.001226520538330078
85,0.8411129355430603,2025-09-03 18:52:18.068576,2025-09-03 19:27:04.707173,0 days 00:34:46.638597,20,normal,8,zero,,0.03321687988991565,8771,704,Glorot,,tanh,0.003517341613769531,COMPLETE,0.003517341613769531
86,0.8687258124351501,2025-09-03 19:27:04.707897,2025-09-03 19:34:02.535975,0 days 00:06:57.828078,100,uniform,7,zero,,0.22249615329581965,4005,304,old,1.4479302401785028,logistic,0.0001178741455078125,COMPLETE,0.0001178741455078125
